Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scale200I', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 117, loss: 1.671745, test acc: 0.865478, test avg acc: 0.827831
Train 118, loss: 1.409970, train acc: 0.949613, train avg acc: 0.926038
Test 118, loss: 1.660209, test acc: 0.877229, test avg acc: 0.837320
Train 119, loss: 1.413744, train acc: 0.947374, train avg acc: 0.923567
Test 119, loss: 1.646571, test acc: 0.878039, test avg acc: 0.834686
Train 120, loss: 1.398856, train acc: 0.954499, train avg acc: 0.934210
Test 120, loss: 1.644463, test acc: 0.884117, test avg acc: 0.853145
Train 121, loss: 1.399471, train acc: 0.951547, train avg acc: 0.929220
Test 121, loss: 1.646615, test acc: 0.883306, test avg acc: 0.853395
Train 122, loss: 1.396933, train acc: 0.955822, train avg acc: 0.933549
Test 122, loss: 1.650024, test acc: 0.870746, test avg acc: 0.834948
Train 123, loss: 1.394222, train acc: 0.957553, train avg acc: 0.937840
Test 123, loss: 1.658145, test acc: 0.871961, test avg acc: 0.836948
Train 124, loss: 1.390991, train acc: 0.954601, train avg acc: 0.932420
Test 124, loss: 1.624772, test acc: 0.887763, test avg acc: 0.851895
Train 125, loss: 1.391293, train acc: 0.957349, train avg acc: 0.936410
Test 125, loss: 1.641616, test acc: 0.878039, test avg acc: 0.845192
Train 126, loss: 1.392363, train acc: 0.956026, train avg acc: 0.935036
Test 126, loss: 1.638469, test acc: 0.884927, test avg acc: 0.848895
Train 127, loss: 1.393156, train acc: 0.957349, train avg acc: 0.935497
Test 127, loss: 1.626383, test acc: 0.886548, test avg acc: 0.860442
Train 128, loss: 1.387971, train acc: 0.956535, train avg acc: 0.935333
Test 128, loss: 1.648836, test acc: 0.875203, test avg acc: 0.850523
Train 129, loss: 1.389713, train acc: 0.958164, train avg acc: 0.937443
Test 129, loss: 1.651401, test acc: 0.878039, test avg acc: 0.844634
Train 130, loss: 1.388897, train acc: 0.957960, train avg acc: 0.935928
Test 130, loss: 1.633706, test acc: 0.880065, test avg acc: 0.855442
Train 131, loss: 1.387828, train acc: 0.959792, train avg acc: 0.939893
Test 131, loss: 1.656168, test acc: 0.872366, test avg acc: 0.849692
Train 132, loss: 1.391549, train acc: 0.956433, train avg acc: 0.935228
Test 132, loss: 1.648645, test acc: 0.881280, test avg acc: 0.852151
Train 133, loss: 1.388893, train acc: 0.959691, train avg acc: 0.937640
Test 133, loss: 1.639062, test acc: 0.884117, test avg acc: 0.858599
Train 134, loss: 1.383573, train acc: 0.961930, train avg acc: 0.940849
Test 134, loss: 1.636136, test acc: 0.883306, test avg acc: 0.847901
Train 135, loss: 1.386500, train acc: 0.960607, train avg acc: 0.942691
Test 135, loss: 1.634962, test acc: 0.890600, test avg acc: 0.852006
Train 136, loss: 1.386173, train acc: 0.959792, train avg acc: 0.941137
Test 136, loss: 1.678705, test acc: 0.861426, test avg acc: 0.842733
Train 137, loss: 1.389563, train acc: 0.958469, train avg acc: 0.937421
Test 137, loss: 1.659640, test acc: 0.872366, test avg acc: 0.848651
Train 138, loss: 1.389975, train acc: 0.958673, train avg acc: 0.936781
Test 138, loss: 1.659055, test acc: 0.884522, test avg acc: 0.844808
Train 139, loss: 1.385404, train acc: 0.959691, train avg acc: 0.940977
Test 139, loss: 1.657246, test acc: 0.869530, test avg acc: 0.843767
Train 140, loss: 1.377536, train acc: 0.962948, train avg acc: 0.944647
Test 140, loss: 1.642755, test acc: 0.886548, test avg acc: 0.854355
Train 141, loss: 1.375152, train acc: 0.963457, train avg acc: 0.945413
Test 141, loss: 1.628117, test acc: 0.891005, test avg acc: 0.849890
Train 142, loss: 1.376781, train acc: 0.964882, train avg acc: 0.948678
Test 142, loss: 1.626598, test acc: 0.881280, test avg acc: 0.850483
Train 143, loss: 1.372570, train acc: 0.965086, train avg acc: 0.948114
Test 143, loss: 1.643689, test acc: 0.881280, test avg acc: 0.849355
Train 144, loss: 1.377841, train acc: 0.963559, train avg acc: 0.945203
Test 144, loss: 1.631956, test acc: 0.884117, test avg acc: 0.846227
Train 145, loss: 1.377048, train acc: 0.964678, train avg acc: 0.947291
Test 145, loss: 1.633441, test acc: 0.884522, test avg acc: 0.867238
Train 146, loss: 1.374943, train acc: 0.962337, train avg acc: 0.944104
Test 146, loss: 1.631455, test acc: 0.885332, test avg acc: 0.862570
Train 147, loss: 1.375873, train acc: 0.964068, train avg acc: 0.946505
Test 147, loss: 1.622296, test acc: 0.885332, test avg acc: 0.854983
Train 148, loss: 1.372796, train acc: 0.964678, train avg acc: 0.947175
Test 148, loss: 1.628211, test acc: 0.890600, test avg acc: 0.852273
Train 149, loss: 1.371613, train acc: 0.964882, train avg acc: 0.947361
Test 149, loss: 1.637405, test acc: 0.882091, test avg acc: 0.854657
Train 150, loss: 1.374774, train acc: 0.963050, train avg acc: 0.946317
Test 150, loss: 1.640166, test acc: 0.884927, test avg acc: 0.853395
Train 151, loss: 1.373090, train acc: 0.964373, train avg acc: 0.947546
Test 151, loss: 1.642664, test acc: 0.877634, test avg acc: 0.842314
Train 152, loss: 1.368768, train acc: 0.966409, train avg acc: 0.949415
Test 152, loss: 1.636043, test acc: 0.872771, test avg acc: 0.847610
Train 153, loss: 1.375536, train acc: 0.964373, train avg acc: 0.946949
Test 153, loss: 1.636570, test acc: 0.881280, test avg acc: 0.841779
Train 154, loss: 1.367945, train acc: 0.966307, train avg acc: 0.949205
Test 154, loss: 1.633183, test acc: 0.884522, test avg acc: 0.857355
Train 155, loss: 1.372454, train acc: 0.965187, train avg acc: 0.947944
Test 155, loss: 1.618542, test acc: 0.886548, test avg acc: 0.853512
Train 156, loss: 1.373471, train acc: 0.964984, train avg acc: 0.945995
Test 156, loss: 1.627114, test acc: 0.888169, test avg acc: 0.854012
Train 157, loss: 1.373614, train acc: 0.962948, train avg acc: 0.944868
Test 157, loss: 1.641598, test acc: 0.893436, test avg acc: 0.857483
Train 158, loss: 1.367773, train acc: 0.967630, train avg acc: 0.952465
Test 158, loss: 1.626711, test acc: 0.890600, test avg acc: 0.851099
Train 159, loss: 1.369524, train acc: 0.963762, train avg acc: 0.944477
Test 159, loss: 1.646457, test acc: 0.885332, test avg acc: 0.854105
Train 160, loss: 1.366933, train acc: 0.968037, train avg acc: 0.952044
Test 160, loss: 1.624612, test acc: 0.886143, test avg acc: 0.856442
Train 161, loss: 1.363779, train acc: 0.970175, train avg acc: 0.955579
Test 161, loss: 1.633281, test acc: 0.883712, test avg acc: 0.848326
Train 162, loss: 1.365342, train acc: 0.967427, train avg acc: 0.951414
Test 162, loss: 1.640788, test acc: 0.884117, test avg acc: 0.853308
Train 163, loss: 1.363751, train acc: 0.968750, train avg acc: 0.952936
Test 163, loss: 1.646858, test acc: 0.884522, test avg acc: 0.851192
Train 164, loss: 1.362280, train acc: 0.968648, train avg acc: 0.954899
Test 164, loss: 1.626585, test acc: 0.887763, test avg acc: 0.858070
Train 165, loss: 1.358914, train acc: 0.970175, train avg acc: 0.957575
Test 165, loss: 1.642679, test acc: 0.886953, test avg acc: 0.864023
Train 166, loss: 1.358095, train acc: 0.970989, train avg acc: 0.956217
Test 166, loss: 1.633157, test acc: 0.884117, test avg acc: 0.838517
Train 167, loss: 1.358101, train acc: 0.970786, train avg acc: 0.955935
Test 167, loss: 1.625886, test acc: 0.882496, test avg acc: 0.849064
Train 168, loss: 1.363623, train acc: 0.968343, train avg acc: 0.954126
Test 168, loss: 1.640051, test acc: 0.883712, test avg acc: 0.848442
Train 169, loss: 1.360860, train acc: 0.967936, train avg acc: 0.954032
Test 169, loss: 1.625081, test acc: 0.886548, test avg acc: 0.851773
Train 170, loss: 1.358305, train acc: 0.971804, train avg acc: 0.957174
Test 170, loss: 1.644471, test acc: 0.876823, test avg acc: 0.840814
Train 171, loss: 1.362484, train acc: 0.968954, train avg acc: 0.952920
Test 171, loss: 1.643822, test acc: 0.876013, test avg acc: 0.857436
Train 172, loss: 1.360411, train acc: 0.970582, train avg acc: 0.954780
Test 172, loss: 1.640925, test acc: 0.882901, test avg acc: 0.862355
Train 173, loss: 1.356659, train acc: 0.970888, train avg acc: 0.955008
Test 173, loss: 1.648108, test acc: 0.881280, test avg acc: 0.855942
Train 174, loss: 1.358817, train acc: 0.969768, train avg acc: 0.956143
Test 174, loss: 1.646886, test acc: 0.873582, test avg acc: 0.842355
Train 175, loss: 1.358669, train acc: 0.970277, train avg acc: 0.956252
Test 175, loss: 1.627347, test acc: 0.888574, test avg acc: 0.854145
Train 176, loss: 1.358442, train acc: 0.969870, train avg acc: 0.955537
Test 176, loss: 1.628585, test acc: 0.881686, test avg acc: 0.849610
Train 177, loss: 1.359292, train acc: 0.971600, train avg acc: 0.957146
Test 177, loss: 1.643839, test acc: 0.886548, test avg acc: 0.850814
Train 178, loss: 1.357811, train acc: 0.970480, train avg acc: 0.956544
Test 178, loss: 1.630449, test acc: 0.890194, test avg acc: 0.858064
Train 179, loss: 1.355921, train acc: 0.973941, train avg acc: 0.960019
Test 179, loss: 1.634524, test acc: 0.888574, test avg acc: 0.851430
Train 180, loss: 1.349648, train acc: 0.974247, train avg acc: 0.962046
Test 180, loss: 1.639733, test acc: 0.881280, test avg acc: 0.852558
Train 181, loss: 1.352773, train acc: 0.969768, train avg acc: 0.953761
Test 181, loss: 1.638695, test acc: 0.880065, test avg acc: 0.843395
Train 182, loss: 1.347119, train acc: 0.976181, train avg acc: 0.963552
Test 182, loss: 1.631279, test acc: 0.885737, test avg acc: 0.851145
Train 183, loss: 1.349641, train acc: 0.973941, train avg acc: 0.960455
