Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 96, loss: 1.429765, train acc: 0.940757, train avg acc: 0.910183
Test 96, loss: 1.665549, test acc: 0.874797, test avg acc: 0.842640
Train 97, loss: 1.427487, train acc: 0.940452, train avg acc: 0.916173
Test 97, loss: 1.663738, test acc: 0.877229, test avg acc: 0.844901
Train 98, loss: 1.434656, train acc: 0.937704, train avg acc: 0.907237
Test 98, loss: 1.660020, test acc: 0.866288, test avg acc: 0.831256
Train 99, loss: 1.428254, train acc: 0.943607, train avg acc: 0.916714
Test 99, loss: 1.656697, test acc: 0.874797, test avg acc: 0.837547
Train 100, loss: 1.412421, train acc: 0.951344, train avg acc: 0.928887
Test 100, loss: 1.672610, test acc: 0.871556, test avg acc: 0.838913
Train 101, loss: 1.409689, train acc: 0.948697, train avg acc: 0.925042
Test 101, loss: 1.668033, test acc: 0.875203, test avg acc: 0.839320
Train 102, loss: 1.412398, train acc: 0.948392, train avg acc: 0.924749
Test 102, loss: 1.644877, test acc: 0.882091, test avg acc: 0.843820
Train 103, loss: 1.411839, train acc: 0.948595, train avg acc: 0.922717
Test 103, loss: 1.670972, test acc: 0.862237, test avg acc: 0.834279
Train 104, loss: 1.408279, train acc: 0.951242, train avg acc: 0.928076
Test 104, loss: 1.656995, test acc: 0.874797, test avg acc: 0.838320
Train 105, loss: 1.409879, train acc: 0.948392, train avg acc: 0.923656
Test 105, loss: 1.652329, test acc: 0.878849, test avg acc: 0.842285
Train 106, loss: 1.409559, train acc: 0.949104, train avg acc: 0.924793
Test 106, loss: 1.654687, test acc: 0.876418, test avg acc: 0.836017
Train 107, loss: 1.409455, train acc: 0.950428, train avg acc: 0.925472
Test 107, loss: 1.635411, test acc: 0.882091, test avg acc: 0.841860
Train 108, loss: 1.404899, train acc: 0.950428, train avg acc: 0.926875
Test 108, loss: 1.656506, test acc: 0.875203, test avg acc: 0.843727
Train 109, loss: 1.408679, train acc: 0.950631, train avg acc: 0.926286
Test 109, loss: 1.668566, test acc: 0.882496, test avg acc: 0.840477
Train 110, loss: 1.408381, train acc: 0.950631, train avg acc: 0.925704
