Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='rotate_raw_adam_steplr_morefc_stn', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 174, loss: 1.337430, train acc: 0.977911, train avg acc: 0.965407
Test 174, loss: 1.628647, test acc: 0.891410, test avg acc: 0.858605
Train 175, loss: 1.337404, train acc: 0.978420, train avg acc: 0.968852
Test 175, loss: 1.635399, test acc: 0.889789, test avg acc: 0.852145
Train 176, loss: 1.337158, train acc: 0.979031, train avg acc: 0.968313
Test 176, loss: 1.630145, test acc: 0.889384, test avg acc: 0.855767
Train 177, loss: 1.336613, train acc: 0.980151, train avg acc: 0.970468
Test 177, loss: 1.627662, test acc: 0.892220, test avg acc: 0.853186
Train 178, loss: 1.336728, train acc: 0.980761, train avg acc: 0.972141
Test 178, loss: 1.626061, test acc: 0.893031, test avg acc: 0.860477
Train 179, loss: 1.335861, train acc: 0.981067, train avg acc: 0.969896
Test 179, loss: 1.628656, test acc: 0.891005, test avg acc: 0.863186
Train 180, loss: 1.333617, train acc: 0.979743, train avg acc: 0.969345
Test 180, loss: 1.628847, test acc: 0.892220, test avg acc: 0.858099
Train 181, loss: 1.334148, train acc: 0.978420, train avg acc: 0.968711
Test 181, loss: 1.627338, test acc: 0.890194, test avg acc: 0.855727
Train 182, loss: 1.334027, train acc: 0.978318, train avg acc: 0.967005
Test 182, loss: 1.628963, test acc: 0.890600, test avg acc: 0.857227
Train 183, loss: 1.332820, train acc: 0.981779, train avg acc: 0.973219
Test 183, loss: 1.629824, test acc: 0.891005, test avg acc: 0.859395
Train 184, loss: 1.333427, train acc: 0.979845, train avg acc: 0.969191
