Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scaleI', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 108, loss: 1.658702, test acc: 0.872366, test avg acc: 0.837064
Train 109, loss: 1.430535, train acc: 0.935566, train avg acc: 0.909211
Test 109, loss: 1.666191, test acc: 0.869935, test avg acc: 0.829500
Train 110, loss: 1.425785, train acc: 0.938721, train avg acc: 0.913003
Test 110, loss: 1.668017, test acc: 0.874797, test avg acc: 0.835988
Train 111, loss: 1.423143, train acc: 0.939027, train avg acc: 0.911447
Test 111, loss: 1.661527, test acc: 0.872366, test avg acc: 0.831866
Train 112, loss: 1.423077, train acc: 0.938111, train avg acc: 0.911402
Test 112, loss: 1.675699, test acc: 0.870340, test avg acc: 0.841372
Train 113, loss: 1.424049, train acc: 0.937602, train avg acc: 0.910755
Test 113, loss: 1.657730, test acc: 0.868314, test avg acc: 0.826081
Train 114, loss: 1.424210, train acc: 0.936686, train avg acc: 0.910219
Test 114, loss: 1.677851, test acc: 0.865883, test avg acc: 0.827820
Train 115, loss: 1.417097, train acc: 0.940859, train avg acc: 0.912997
Test 115, loss: 1.677294, test acc: 0.863047, test avg acc: 0.829698
Train 116, loss: 1.415348, train acc: 0.943099, train avg acc: 0.918099
Test 116, loss: 1.686729, test acc: 0.865883, test avg acc: 0.833285
Train 117, loss: 1.418594, train acc: 0.939332, train avg acc: 0.914640
Test 117, loss: 1.671347, test acc: 0.872366, test avg acc: 0.833337
Train 118, loss: 1.416132, train acc: 0.940350, train avg acc: 0.913109
Test 118, loss: 1.671185, test acc: 0.863857, test avg acc: 0.826407
Train 119, loss: 1.422149, train acc: 0.940859, train avg acc: 0.913329
Test 119, loss: 1.669375, test acc: 0.870746, test avg acc: 0.827831
Train 120, loss: 1.410709, train acc: 0.941877, train avg acc: 0.915248
Test 120, loss: 1.683028, test acc: 0.866288, test avg acc: 0.833506
Train 121, loss: 1.406368, train acc: 0.945440, train avg acc: 0.921130
Test 121, loss: 1.671377, test acc: 0.872771, test avg acc: 0.829488
Train 122, loss: 1.405922, train acc: 0.946050, train avg acc: 0.922669
Test 122, loss: 1.672951, test acc: 0.871556, test avg acc: 0.839105
Train 123, loss: 1.403269, train acc: 0.950020, train avg acc: 0.929499
Test 123, loss: 1.656159, test acc: 0.877634, test avg acc: 0.845610
Train 124, loss: 1.406086, train acc: 0.945338, train avg acc: 0.919429
Test 124, loss: 1.668457, test acc: 0.866694, test avg acc: 0.827913
Train 125, loss: 1.402399, train acc: 0.949613, train avg acc: 0.928483
Test 125, loss: 1.668565, test acc: 0.869935, test avg acc: 0.838837
Train 126, loss: 1.401842, train acc: 0.948188, train avg acc: 0.925824
Test 126, loss: 1.654764, test acc: 0.871961, test avg acc: 0.838988
Train 127, loss: 1.400892, train acc: 0.949511, train avg acc: 0.928473
Test 127, loss: 1.663757, test acc: 0.870746, test avg acc: 0.837035
Train 128, loss: 1.400281, train acc: 0.948188, train avg acc: 0.924317
Test 128, loss: 1.679043, test acc: 0.869530, test avg acc: 0.836983
Train 129, loss: 1.401798, train acc: 0.947679, train avg acc: 0.925652
Test 129, loss: 1.665731, test acc: 0.876418, test avg acc: 0.850517
Train 130, loss: 1.399147, train acc: 0.950020, train avg acc: 0.929686
Test 130, loss: 1.661757, test acc: 0.873987, test avg acc: 0.840366
Train 131, loss: 1.398632, train acc: 0.949511, train avg acc: 0.925618
Test 131, loss: 1.674986, test acc: 0.871961, test avg acc: 0.835988
Train 132, loss: 1.398142, train acc: 0.948799, train avg acc: 0.925580
Test 132, loss: 1.668630, test acc: 0.870340, test avg acc: 0.838994
Train 133, loss: 1.397818, train acc: 0.950529, train avg acc: 0.926579
Test 133, loss: 1.672496, test acc: 0.867099, test avg acc: 0.837698
Train 134, loss: 1.399809, train acc: 0.948901, train avg acc: 0.925667
Test 134, loss: 1.671179, test acc: 0.868314, test avg acc: 0.843448
Train 135, loss: 1.397295, train acc: 0.950326, train avg acc: 0.926514
Test 135, loss: 1.663382, test acc: 0.877634, test avg acc: 0.844733
Train 136, loss: 1.397229, train acc: 0.949613, train avg acc: 0.928531
Test 136, loss: 1.677552, test acc: 0.861831, test avg acc: 0.828285
Train 137, loss: 1.398719, train acc: 0.950529, train avg acc: 0.928323
Test 137, loss: 1.690111, test acc: 0.863047, test avg acc: 0.840913
Train 138, loss: 1.394779, train acc: 0.952056, train avg acc: 0.930861
Test 138, loss: 1.675686, test acc: 0.875203, test avg acc: 0.831477
Train 139, loss: 1.392789, train acc: 0.951038, train avg acc: 0.932055
Test 139, loss: 1.673723, test acc: 0.868720, test avg acc: 0.837110
Train 140, loss: 1.385866, train acc: 0.954092, train avg acc: 0.933278
Test 140, loss: 1.657426, test acc: 0.880470, test avg acc: 0.844407
Train 141, loss: 1.382695, train acc: 0.956433, train avg acc: 0.935855
Test 141, loss: 1.651352, test acc: 0.880470, test avg acc: 0.843070
Train 142, loss: 1.386752, train acc: 0.952871, train avg acc: 0.934202
Test 142, loss: 1.647532, test acc: 0.870340, test avg acc: 0.843535
Train 143, loss: 1.379758, train acc: 0.958571, train avg acc: 0.940204
Test 143, loss: 1.663265, test acc: 0.871151, test avg acc: 0.837285
Train 144, loss: 1.384763, train acc: 0.957349, train avg acc: 0.938330
Test 144, loss: 1.660634, test acc: 0.875203, test avg acc: 0.837820
Train 145, loss: 1.381129, train acc: 0.956840, train avg acc: 0.938029
Test 145, loss: 1.668455, test acc: 0.876418, test avg acc: 0.842988
Train 146, loss: 1.379707, train acc: 0.958673, train avg acc: 0.940002
Test 146, loss: 1.679934, test acc: 0.871556, test avg acc: 0.841163
Train 147, loss: 1.383750, train acc: 0.956128, train avg acc: 0.936559
Test 147, loss: 1.659292, test acc: 0.873987, test avg acc: 0.835703
Train 148, loss: 1.378494, train acc: 0.958673, train avg acc: 0.941735
Test 148, loss: 1.666723, test acc: 0.876418, test avg acc: 0.837576
Train 149, loss: 1.377161, train acc: 0.960810, train avg acc: 0.942542
Test 149, loss: 1.689021, test acc: 0.875608, test avg acc: 0.836076
Train 150, loss: 1.381489, train acc: 0.956739, train avg acc: 0.937405
Test 150, loss: 1.684107, test acc: 0.869935, test avg acc: 0.835209
Train 151, loss: 1.384612, train acc: 0.955212, train avg acc: 0.934280
Test 151, loss: 1.670709, test acc: 0.876418, test avg acc: 0.841692
Train 152, loss: 1.379901, train acc: 0.958571, train avg acc: 0.938887
Test 152, loss: 1.659052, test acc: 0.871961, test avg acc: 0.833663
Train 153, loss: 1.381589, train acc: 0.957757, train avg acc: 0.939957
Test 153, loss: 1.668281, test acc: 0.871556, test avg acc: 0.834163
Train 154, loss: 1.375163, train acc: 0.957655, train avg acc: 0.938166
Test 154, loss: 1.679973, test acc: 0.867909, test avg acc: 0.846128
Train 155, loss: 1.379102, train acc: 0.960607, train avg acc: 0.945644
Test 155, loss: 1.661105, test acc: 0.868720, test avg acc: 0.837035
Train 156, loss: 1.376537, train acc: 0.958673, train avg acc: 0.939855
Test 156, loss: 1.662323, test acc: 0.881280, test avg acc: 0.848448
Train 157, loss: 1.378998, train acc: 0.957858, train avg acc: 0.938893
Test 157, loss: 1.678102, test acc: 0.878444, test avg acc: 0.844535
Train 158, loss: 1.376218, train acc: 0.959385, train avg acc: 0.939121
Test 158, loss: 1.658347, test acc: 0.879254, test avg acc: 0.845326
Train 159, loss: 1.379593, train acc: 0.958673, train avg acc: 0.940289
Test 159, loss: 1.681968, test acc: 0.871151, test avg acc: 0.834541
Train 160, loss: 1.370258, train acc: 0.961116, train avg acc: 0.942876
Test 160, loss: 1.661206, test acc: 0.877229, test avg acc: 0.842285
Train 161, loss: 1.372474, train acc: 0.960607, train avg acc: 0.943628
Test 161, loss: 1.675735, test acc: 0.873987, test avg acc: 0.841831
Train 162, loss: 1.371551, train acc: 0.961014, train avg acc: 0.943653
Test 162, loss: 1.670854, test acc: 0.878444, test avg acc: 0.839442
Train 163, loss: 1.369012, train acc: 0.963864, train avg acc: 0.948281
Test 163, loss: 1.669628, test acc: 0.873582, test avg acc: 0.840116
Train 164, loss: 1.366094, train acc: 0.963151, train avg acc: 0.947882
Test 164, loss: 1.653679, test acc: 0.875608, test avg acc: 0.835907
Train 165, loss: 1.365550, train acc: 0.962235, train avg acc: 0.945612
Test 165, loss: 1.674676, test acc: 0.876823, test avg acc: 0.845791
Train 166, loss: 1.364480, train acc: 0.965187, train avg acc: 0.949957
Test 166, loss: 1.670820, test acc: 0.872771, test avg acc: 0.833355
Train 167, loss: 1.366510, train acc: 0.962235, train avg acc: 0.945087
Test 167, loss: 1.644053, test acc: 0.881686, test avg acc: 0.844320
Train 168, loss: 1.368958, train acc: 0.962235, train avg acc: 0.945359
Test 168, loss: 1.659020, test acc: 0.871151, test avg acc: 0.831064
Train 169, loss: 1.367132, train acc: 0.963559, train avg acc: 0.948400
Test 169, loss: 1.672007, test acc: 0.875203, test avg acc: 0.837366
